,ticker,Price,5yearincrease,5yearscore,3yearincrease,3yearscore,1yearincrease,1yearscore,6monthincrease,6monthscore,3monthincrease,3monthscore,Score
172,ESS,339.4599914550781,0.4975955979938129,0.35699797160243407,0.31481912264738177,0.3407707910750507,0.38442086329524994,0.821501014198783,0.036487378501820045,0.4908722109533468,0.01890979626521494,0.436105476673428,0.48924949290060854
173,EL,309.5199890136719,2.9234375891538615,0.9148073022312373,1.467671117440791,0.8864097363083164,0.21252001344939675,0.5983772819472617,-0.052238343621888506,0.25557809330628806,-0.017428083494990587,0.3184584178498986,0.5947261663286003
174,ETSY,163.13999938964844,11.947618607184436,0.9918864097363083,1.9884594052692015,0.9513184584178499,-0.23242681592625924,0.018255578093306288,-0.1917760988028674,0.04868154158215011,-0.2367719326800073,0.018255578093306288,0.4056795131845842
175,EVRG,64.91000366210938,0.16870728469798157,0.204868154158215,0.146819883604552,0.18661257606490872,0.21145952676111857,0.5963488843813388,0.012005055812102317,0.44421906693711966,0.03524725474128232,0.4949290060851927,0.385395537525355
176,ES,86.87000274658203,0.5774469443976873,0.40365111561866124,0.29117128898214717,0.3144016227180527,-0.0029839838750337355,0.18052738336713997,0.024289650363037207,0.460446247464503,0.007305251605034702,0.4077079107505071,0.3533468559837728
177,RE,287.3399963378906,0.3097223990942237,0.257606490872211,0.3344169130845691,0.35699797160243407,0.23960307400742997,0.6450304259634889,0.18383320242576517,0.8438133874239351,0.07945450130547216,0.6734279918864097,0.5553752535496957
178,EXC,56.4900016784668,0.5805819537076795,0.4077079107505071,0.22750980261967402,0.2454361054766734,0.3131102063545479,0.742393509127789,0.22777665158115923,0.8904665314401623,0.15097798636844262,0.8640973630831642,0.6300202839756592
179,EXPE,176.4600067138672,0.4848536869030948,0.35091277890466527,0.511952772668163,0.4645030425963489,0.27059332164313243,0.6896551724137931,0.10266830006809857,0.6957403651115618,0.047178282987296205,0.5415821501014199,0.5484787018255577
180,EXPD,119.0199966430664,1.2321829955790435,0.6531440162271805,0.7518397463366779,0.6348884381338743,0.2657662255470721,0.6835699797160244,-0.07290861414353478,0.2028397565922921,0.024797634480396402,0.4563894523326572,0.5261663286004057
181,EXR,198.41000366210938,1.7142271929369546,0.768762677484787,1.1533536463687013,0.8154158215010142,0.7299677342275293,0.973630831643002,0.17562362172959278,0.8296146044624746,0.10374949780366305,0.7342799188640974,0.824340770791075
182,XOM,73.11000061035156,-0.13714153530280893,0.08316430020283976,0.01358662684389822,0.1075050709939148,0.5196424793771648,0.9310344827586207,0.28016108963409625,0.9269776876267748,0.1971508265219093,0.9350912778904665,0.5967545638945233
183,FFIV,222.8000030517578,0.563070110467258,0.39756592292089254,0.4243703213135006,0.41379310344827586,0.10845772662566078,0.39553752535496955,0.17287847534853396,0.823529411764706,0.12089348625438534,0.7931034482758621,0.5647058823529412
184,FDS,429.5,1.5390162609472968,0.7525354969574036,1.0355450236966823,0.7647058823529411,0.3226779945349927,0.7484787018255578,0.2601590732068224,0.9148073022312373,0.04825125932581864,0.5517241379310345,0.7464503042596349
185,FAST,58.02000045776367,1.2955490141818449,0.6855983772819472,1.0237181828868582,0.7586206896551724,0.20448417403446273,0.5821501014198783,0.07623818627313272,0.6105476673427992,0.08145384543515499,0.6815415821501014,0.6636916835699797
186,FRT,125.62000274658203,-0.09788148835488664,0.09533468559837727,0.00015926968713353418,0.10141987829614604,0.4445722639044094,0.8904665314401623,0.08433322745915617,0.6369168356997972,0.02096880536294843,0.44421906693711966,0.4336713995943205
187,FDX,252.19000244140625,0.354622146005229,0.26774847870182555,0.4554740937435795,0.4340770791075051,-0.006891391601068442,0.17647058823529413,-0.1497875848127771,0.08924949290060852,0.12720693361352442,0.8113590263691683,0.35578093306288033
188,FIS,113.30000305175781,0.4314592655404208,0.31643002028397565,0.08722775210771094,0.14198782961460446,-0.1519461236852715,0.05273833671399594,-0.22455682308900926,0.030425963488843813,-0.02979958694909668,0.281947261663286,0.1647058823529412
189,FITB,47.970001220703125,0.8457099516411162,0.5415821501014199,0.8163574970790339,0.6713995943204868,0.563559346269318,0.9533468559837728,0.33176015022408967,0.9533468559837728,0.12315622217240363,0.7951318458417851,0.7829614604462475
190,FE,41.41999816894531,0.3665456581576849,0.2799188640973631,0.0700077279402389,0.13590263691683568,0.33311871824206185,0.7626774847870181,0.05798203204579422,0.5415821501014199,0.16217729737042763,0.8803245436105476,0.5200811359026368
191,FRC,174.02999877929688,0.889371377984107,0.5557809330628803,0.8188753995006286,0.6734279918864097,0.12962483147585346,0.4340770791075051,-0.10556616010552622,0.15010141987829614,-0.1504515811859174,0.06288032454361055,0.3752535496957403
192,FISV,106.05000305175781,0.9396434299330281,0.5679513184584178,0.42348997384909826,0.411764705882353,-0.026617659272281102,0.1561866125760649,-0.03634711393982204,0.30831643002028397,0.016388794075951063,0.4300202839756592,0.37484787018255583
193,FLT,237.5800018310547,0.5811261181714353,0.40973630831643,0.23347697979440363,0.25557809330628806,-0.11935650194210479,0.08519269776876268,-0.06534482257688468,0.2231237322515213,-0.07714419057648869,0.1440162271805274,0.2235294117647059
194,FMC,111.05000305175781,1.1577461552459023,0.6288032454361054,0.6121965877873738,0.5436105476673427,-0.034347799549932057,0.15010141987829614,0.04882891889358221,0.5192697768762677,0.256221732295425,0.973630831643002,0.5630831643002028
195,F,22.450000762939453,0.8061142567785298,0.515212981744422,1.6854069001077447,0.9269776876267748,0.9470946472567057,0.9878296146044625,0.6139468734153992,0.9939148073022313,0.44745328379391935,1.0,0.884787018255578
196,FTNT,307.1600036621094,8.494900097377965,0.9878296146044625,3.227942150182817,0.9797160243407709,1.0510150569489287,0.9918864097363083,0.13447831454149362,0.7647058823529411,-0.009480820327442463,0.3448275862068966,0.8137931034482759
197,FTV,72.23999786376953,0.5906909217730567,0.41987829614604466,0.2093975116172151,0.2332657200811359,0.031116191566415097,0.2454361054766734,0.044534326757816434,0.5050709939148073,0.016462616771764527,0.4340770791075051,0.3675456389452333
198,FBHS,96.94999694824219,0.7672255900403442,0.4969574036511156,1.295761259748006,0.8519269776876268,0.052088934811523435,0.28600405679513186,0.006122834517990228,0.4158215010141988,0.05288873827481888,0.5740365111561866,0.5249492900608519
199,BEN,33.81999969482422,-0.1515303768951466,0.08113590263691683,0.08850981741265063,0.1440162271805274,0.27815573941839555,0.6997971602434078,0.14877714270757592,0.7910750507099391,0.1690286670606631,0.8945233265720082,0.5221095334685598
200,FCX,44.08000183105469,1.888597717556169,0.7991886409736308,2.6339654917708444,0.9756592292089249,0.46737684712486893,0.9087221095334685,0.2666667470530093,0.922920892494929,0.2305974932050039,0.9574036511156188,0.9127789046653143
201,GPS,16.649999618530273,-0.30247176233174355,0.056795131845841784,-0.3493552356682391,0.018255578093306288,-0.26360021366353326,0.014198782961460446,-0.4262577754689205,0.0060851926977687635,-0.2613132678685727,0.016227180527383367,0.02231237322515213
202,GRMN,131.22999572753906,1.756353582129686,0.7748478701825557,0.9574879763634441,0.7322515212981745,0.06018740524893462,0.2981744421906694,-0.13132991748719558,0.11561866125760649,-0.15209671057113539,0.060851926977687626,0.39634888438133875
203,IT,280.04998779296875,1.8285019871794428,0.7931034482758621,1.169080524119488,0.821501014198783,0.7355601557614457,0.9756592292089249,0.08930721452460588,0.6572008113590263,-0.08599871615016363,0.12778904665314403,0.6750507099391481
204,GNRC,291.3599853515625,6.595411384663485,0.9858012170385396,4.382597073754454,0.9898580121703854,0.06987845524770031,0.32251521298174446,-0.34465465316019517,0.010141987829614604,-0.3044807170884084,0.012170385395537527,0.4640973630831643
205,GD,210.36000061035156,0.18306058994816432,0.20689655172413793,0.26937001605616473,0.28600405679513186,0.3925592745277007,0.8255578093306287,0.10384631644823261,0.6977687626774848,0.034269144213674885,0.48884381338742394,0.5010141987829614
206,GE,100.62000274658203,-0.580884314357206,0.008113590263691683,0.43113787075288346,0.41987829614604466,0.13617892412439425,0.44421906693711966,-0.009645627384420541,0.3671399594320487,-0.016998806695919133,0.32454361054766734,0.31277890466531444
207,GIS,69.1500015258789,0.12165449820551455,0.1845841784989858,0.6092622658004987,0.539553752535497,0.25067824888494794,0.6551724137931035,0.17602044937264116,0.8336713995943206,0.11784676436468455,0.7829614604462475,0.5991886409736309
208,GM,56.2400016784668,0.5077748747669635,0.37322515212981744,0.4699426070495729,0.4401622718052738,0.02106027249182274,0.2210953346855984,0.010783650168946446,0.4381338742393509,-0.026484313089377154,0.2920892494929006,0.3529411764705882
209,GPC,134.35000610351562,0.3555645775012075,0.2697768762677485,0.38419544078816226,0.38945233265720086,0.3143220944934313,0.744421906693712,0.06314792421850624,0.5699797160243407,0.08198444136819116,0.6876267748478702,0.5322515212981744
210,GILD,69.06999969482422,-0.034930837091798894,0.11561866125760649,0.006117962995047854,0.10547667342799188,0.031203288043345268,0.24746450304259635,0.006117962995047854,0.41379310344827586,0.021292362855056535,0.4482758620689655,0.2661257606490872
211,GL,104.0999984741211,0.41401785643038647,0.2981744421906694,0.27417383552743013,0.2920892494929006,0.08766063598269924,0.3448275862068966,0.12043907406038801,0.7322515212981745,0.1074467922778839,0.744421906693712,0.48235294117647065
212,GPN,145.86000061035156,0.8372591224552908,0.5314401622718052,0.2859032021328136,0.3062880324543611,-0.22931414538806194,0.02231237322515213,-0.2366148792633488,0.02636916835699797,-0.04354097960425207,0.2332657200811359,0.2239350912778905
213,GS,347.32000732421875,0.5008858814563351,0.36105476673427994,0.7445377151685502,0.6288032454361054,0.20026268509132383,0.5720081135902637,-0.06812262808339431,0.2150101419878296,-0.10092928083866426,0.11156186612576065,0.3776876267748479
214,GWW,497.30999755859375,1.0367367051151657,0.592292089249493,0.6616880499432689,0.5720081135902637,0.2714048455033442,0.691683569979716,0.09435997969747945,0.6815415821501014,0.17960578258127358,0.9127789046653144,0.6900608519269777
215,HAL,28.3799991607666,-0.48717023703442375,0.024340770791075054,-0.08155341387941195,0.06490872210953347,0.46213288943175557,0.9006085192697769,0.3810219082434405,0.9675456389452333,0.15884031955917122,0.8742393509127789,0.5663286004056796
216,HIG,70.45999908447266,0.46061352887399143,0.332657200811359,0.5280849740143918,0.4847870182555781,0.3810270178810007,0.8174442190669372,0.14420261431268422,0.7809330628803245,-0.01578428986201652,0.332657200811359,0.5496957403651115
